Identifiant du HGD;Identifiant de la ZST;Date de début de la ZST;Date de fin de la ZST;Durée du séjour;Surface
Bachant Malakoff;Bachant Malakoff.1;16/09/2022;04/10/2022;13;7273458.47765488
Bachant Malakoff;Bachant Malakoff.12;17/10/2022;15/11/2022;29;10278648.4392311
Bachant Malakoff;Bachant Malakoff.2;22/09/2022;06/10/2022;9;3986391.98082048
Custodelle;Custodelle.26;26/09/2022;06/12/2022;17;3314590.91347952
Custodelle;Custodelle.29;27/09/2022;13/12/2022;51;9217523.13948948
Germignies B;Germignies B;09/10/2022;15/01/2023;97;79352038.8867327
Germignies B;Germignies B.20;28/09/2022;04/10/2022;7;16884042.2355798
Guemy;Guemy.21;03/11/2022;04/01/2023;61;10317605.3957976
Guemy;Guemy.23;31/10/2022;04/01/2023;7;5086472.53765894
Guemy;Guemy.28;21/09/2022;08/01/2023;42;19039049.3597881
Licques;Licques.12;11/10/2022;16/10/2022;6;5281963.79797178
Licques;Licques.19;13/09/2022;04/10/2022;19;11002502.4325781
Licques;Licques.23;12/09/2022;10/10/2022;7;7099177.36937352
Loos-en-Gohelle 74A;Loos-en-Gohelle 74A.32;17/10/2022;12/01/2023;85;51325894.8433272
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.17;03/11/2022;15/01/2023;71;67708129.1880334
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.22;29/10/2022;15/01/2023;6;16284923.5481496
Loos-en-Gohelle 74B;Loos-en-Gohelle 74B.24;19/10/2022;28/10/2022;10;17215830.2232906
Quelmes;Quelmes.16;01/10/2022;07/10/2022;7;7899420.10854854
Quelmes;Quelmes.24;21/09/2022;29/12/2022;78;21926950.143551
Quelmes;Quelmes.38;11/10/2022;02/12/2022;16;9237874.1677807
Wallers;Wallers.1;02/09/2022;09/09/2022;8;26154443.2629552
Wallers;Wallers.8;18/09/2022;23/10/2022;36;37958624.4045126
